username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DallasPD;2020-06-05 22:23;6;27;"Protesters have reached Dallas City Hall. @ChiefHallDPD @CityOfDallas";;@ChiefHallDPD @CityOfDallas;;"1269032126000873472";https://twitter.com/DallasPD/status/1269032126000873472
DallasPD;2020-06-05 22:12;5;26;"Protesters are traveling South on Field Street from Lamar Street.";;;;"1269029348348170242";https://twitter.com/DallasPD/status/1269029348348170242
DallasPD;2020-06-05 22:09;1;15;"The protesters have resumed marching eastbound on Elm Street approaching Griffin Street. @ChiefHallDPD @CityOfDallas";;@ChiefHallDPD @CityOfDallas;;"1269028481431633922";https://twitter.com/DallasPD/status/1269028481431633922
DallasPD;2020-06-05 22:06;9;27;"Group of approximately 500 protesters have stopped to take a knee at the intersection of Elm Street and Lamar Street. Please avoid the area if possible and find and alternate route. @ChiefHallDPD @CityOfDallas";;@ChiefHallDPD @CityOfDallas;;"1269027724628295683";https://twitter.com/DallasPD/status/1269027724628295683
DallasPD;2020-06-05 22:03;10;101;"A group of approximately 500 protesters are peacefully marching East on Elm Street approaching Lamar Street.";;;;"1269027056827973636";https://twitter.com/DallasPD/status/1269027056827973636
DallasPD;2020-06-05 21:24;4;34;"Recruit Class 368 Graduate the Academy via Teleconference @ChiefHallDPD @CityOfDallashttps://wp.me/p43x0e-aGb";;@ChiefHallDPD @CityOfDallashttps;;"1269017321919700992";https://twitter.com/DallasPD/status/1269017321919700992
DallasPD;2020-06-05 21:19;19;116;"Approximately 450 people are peacefully protesting at Dealey Plaza. @ChiefHallDPD @CityOfDallas";;@ChiefHallDPD @CityOfDallas;;"1269016136278052865";https://twitter.com/DallasPD/status/1269016136278052865
DallasPD;2020-06-05 17:34;3;30;"#TrafficAlert Blue for #BlackLivesMatter march has concluded at City Hall Plaza. @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert #BlackLivesMatter;"1268959484615045126";https://twitter.com/DallasPD/status/1268959484615045126
DallasPD;2020-06-05 17:21;27;125;"8 minutes and 46 seconds #GeorgeFloyd #BlueForBlackLivesMatterMarchpic.twitter.com/1PGPjA3aJk";;;#GeorgeFloyd #BlueForBlackLivesMatterMarchpic;"1268956146586529793";https://twitter.com/DallasPD/status/1268956146586529793
DallasPD;2020-06-05 17:15;10;66;"We take a knee to honor George Floyd @ChiefHallDPD #BlueForBlackLivesMatterMarchpic.twitter.com/Tvm1b7NnJO";;@ChiefHallDPD;#BlueForBlackLivesMatterMarchpic;"1268954652462243840";https://twitter.com/DallasPD/status/1268954652462243840
DallasPD;2020-06-05 17:11;3;7;"#TrafficAlert Blue for #BlackLivesMatter march has arrived at City Hall Plaza. #DallasProtest @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert #BlackLivesMatter #DallasProtest;"1268953565168631814";https://twitter.com/DallasPD/status/1268953565168631814
DallasPD;2020-06-05 17:06;0;4;"#TrafficAlert Blue for #BlackLivesMatter march is northbound on Akard passing Cadiz Street. @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert #BlackLivesMatter;"1268952412770963468";https://twitter.com/DallasPD/status/1268952412770963468
DallasPD;2020-06-05 17:04;0;4;"#TrafficAlert Blue for #BlackLivesMatter march is eastbound Cadiz Street approaching Canton Street. @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert #BlackLivesMatter;"1268951757490708483";https://twitter.com/DallasPD/status/1268951757490708483
DallasPD;2020-06-05 17:02;9;31;"We continue to march! #UnitedAsOne #BlueForBlackLivesMatterMarchpic.twitter.com/9cfGuetQ7H";;;#UnitedAsOne #BlueForBlackLivesMatterMarchpic;"1268951414610542592";https://twitter.com/DallasPD/status/1268951414610542592
DallasPD;2020-06-05 16:59;3;14;"#TrafficAlert Blue for Black Lives Matter march is eastbound Cadiz Street approaching Griffith Street. @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert;"1268950499522420736";https://twitter.com/DallasPD/status/1268950499522420736
DallasPD;2020-06-05 16:53;3;14;"#TrafficAlert Blue for Black Lives Matter march is northbound Lamar Street at Cadiz. @ChiefHallDPD";;@ChiefHallDPD;#TrafficAlert;"1268949022590611461";https://twitter.com/DallasPD/status/1268949022590611461
